id,hotel_name,hotel_city,hotel_price,hotel_type,hotel_rating,total_review
3000020003573,Aryaduta Bali,Bali,Rp 1.408.000,Hotels,8.7,532
9000000970749,Kamaniiya Petitenget Seminyak,Bali,Rp 324.000,Hotels,8.8,710
248405,The ONE Legian,Bali,Rp 632.813,Hotels,8.5,7486
409115,Atanaya Kuta Bali,Bali,Rp 867.328,Hotels,8.6,13450
3000010000329,MERUSAKA Nusa Dua,Bali,Rp 3.644.550,Resorts,8.9,2401
3000010001654,Golden Tulip Jineng Resort Bali,Bali,Rp 842.400,Resorts,8.5,2318
8650,Hard Rock Hotel Bali,Bali,Rp 14.442.185,Hotels,8.8,1277
489548,Harper Kuta by ASTON,Bali,Rp 870.602,Hotels,8.5,2947
1000000468579,Hotel Neo Denpasar by ASTON,Bali,Rp 360.450,Hotels,8.3,1609
479155,The Sakala Resort Bali - All Suites,Bali,Rp 2.453.400,Resorts,8.5,813
3000020017085,Kanvaz Village Resort Seminyak,Bali,Rp 2.283.951,Hotels,8.8,172
544328,Sofitel Bali Nusa Dua Beach Resort,Bali,Rp 2.729.999,Hotels,8.6,646
3000020015865,Daun Lebar Villas,Bali,Rp 2.520.000,Villas,8.7,178
46159100000,Hilton Garden Inn Bali Ngurah Rai Airport,Bali,Rp 690.000,Hotels,8.5,1102
3000010008645,Alila Seminyak,Bali,Rp 5.491.656,Resorts,8.9,268
